"id_produit","nom_produit","categorie","sous_categorie","marque","origine","prix_tnd","prix_segment","saison_forte","saison_faible","region_production","region_vente_forte","canal_vente_principal","canal_vente_secondaire","age_cible_min","age_cible_max","genre_cible","ses_cible","description_courte","ingredients_cles","certification","emballage","poids_volume","unite","stock_moyen","rotation_stock","marge_distributeur_pct","promotion_frequence","discount_moyen_pct","avis_moyen","nb_avis","tendance_2024","concurrent_principal","avantage_competitif","point_faible","strategie_marketing","influenceur_type","hashtags_populaires","moment_consommation","occasion_achat","packaging_eco","made_in_tunisia","halal","bio","artisanal","traditionnel","moderne","luxe","budget","familial","individuel","cadeau","ramadan_produit","ete_produit","hiver_produit","aid_produit","mariage_produit"
"P001","Huile d'Olive Extra Vierge Chetoui","Alimentation","Huiles","Terra Delyssa","Sfax","45.5","Premium","Hiver","Été","Sfax","Grand Tunis","Supermarché","Épicerie fine","25","65","Tous","Moyen-Élevé","Huile d'olive AOP Chetoui première pression à froid","Olives Chetoui 100%","AOP|Bio","Bouteille verre","750","ml","5000","Rapide","25","Mensuelle","15","4.7","892","Croissante","Olivko","Qualité AOP reconnue","Prix élevé","Storytelling terroir","Food blogger","#HuileTunisienne #Chetoui #BioTunisie","Cuisine quotidienne","Courses hebdomadaires","Oui","Oui","Oui","Oui","Non","Oui","Non","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"P002","Harissa Cap Bon Forte","Alimentation","Condiments","Le Phénicien","Nabeul","8.9","Économique","Toute année","Aucune","Nabeul","Nationale","Supermarché","Souk","18","70","Tous","Tous","Harissa traditionnelle piquante du Cap Bon","Piment fort|Ail|Huile d'olive","Halal","Tube plastique","200","g","15000","Très rapide","30","Hebdomadaire","10","4.5","2341","Stable","Délice","Goût authentique","Packaging basique","Prix agressif,Promo volume","Cuisine influencer","#Harissa #CuisineTunisienne #Piquant","Repas quotidiens","Courses mensuelles","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Oui","Oui","Oui","Oui","Oui","Non"
"P003","Dattes Deglet Nour Premium","Alimentation","Fruits secs","Datte d'Or","Tozeur","32.0","Premium","Ramadan","Été","Tozeur","Nationale","Supermarché","Pâtisserie","20","60","Tous","Moyen-Élevé","Dattes Deglet Nour calibre supérieur","Dattes naturelles","Halal","Boîte carton","500","g","8000","Saisonnière","20","Quotidienne","25","4.8","1567","Très croissante","Bardo","Qualité supérieure","Saisonnalité","Premium positioning","Lifestyle influencer","#Ramadan #DattesTunisiennes #Healthy","Goûter|Dessert","Ramadan|Cadeaux","Oui","Oui","Oui","Non","Non","Oui","Non","Non","Non","Oui","Non","Oui","Oui","No","No","Oui","Oui"
"P004","Couscous Grain Moyen","Alimentation","Féculents","Dari","Sousse","4.5","Économique","Hiver","Été","Sousse","Nationale","Supermarché","Souk","25","65","Tous","Tous","Couscous grain moyen traditionnel","Semoule de blé dur","Halal","Sachet plastique","1000","g","25000","Très rapide","15","Hebdomadaire","8","4.3","3421","Stable","Ferrero","Prix compétitif","Packaging simple","Volume familial,TV + Radio","Famille influencer","#Couscous #CuisineTunisienne #Vendredi","Déjeuner vendredi","Courses hebdomadaires","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"P005","Thon à l'Huile d'Olive","Alimentation","Conserves","Goulette","Bizerte","12.5","Moyen","Toute année","Aucune","Bizerte","Nationale","Supermarché","Épicerie","18","65","Tous","Tous","Thon albacore à l'huile d'olive tunisienne","Thon|Huile d'olive|Sel","Halal","Boîte métal","160","g","18000","Rapide","22","Hebdomadaire","12","4.4","1876","Croissante","Mabrouka","Qualité constante","Concurrence forte","Recettes en ligne","Food blogger","#ThonTunisien #RecetteFacile #Salade","Déjeuner rapide","Courses mensuelles","Non","Oui","Oui","Non","Non","Oui","Oui","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"P006","Savon Noir Beldi","Beauté","Soins corps","Medina","Tunis","15.0","Moyen","Toute année","Aucune","Tunis","Grand Tunis","Pharmacie","Hammam","20","50","Femme","Moyen-Élevé","Savon noir traditionnel pour hammam","Huile d'olive|Eucalyptus","Bio|Naturel","Pot plastique","250","g","3000","Moyenne","35","Mensuelle","20","4.6","654","Croissante","Nila","100% naturel","Distribution limitée","Niche hammam,Instagram + TikTok","Beauty influencer","#Hammam #BeautéNaturelle #SavonNoir","Hammam hebdomadaire","Rituel beauté","Oui","Oui","Non","Oui","Oui","Oui","Non","Non","Non","Non","Oui","Non","Oui","Oui","Non","Non","Non"
"P007","Eau de Fleur d'Oranger","Alimentation","Arômes","Carthage","Nabeul","6.5","Économique","Ramadan","Aucune","Nabeul","Nationale","Supermarché","Pâtisserie","25","70","Tous","Tous","Eau de fleur d'oranger naturelle pour pâtisserie","Fleur d'oranger distillée","Naturel","Bouteille plastique","250","ml","12000","Saisonnière","25","Quotidienne","15","4.5","987","Stable","Sicam","Arôme authentique","Packaging daté","Tradition,Recettes vidéo","Food blogger","#Pâtisserie #Ramadan #Traditionnel","Pâtisserie","Ramadan|Fêtes","Non","Oui","Non","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Oui","Oui","Non","No","Oui","Oui"
"P008","Gel Douche Jasmin","Beauté","Hygiène","Jasmine","Sfax","18.5","Moyen","Été","Hiver","Sfax","Nationale","Supermarché","Pharmacie","18","45","Femme","Moyen","Gel douche parfum jasmin de Tunisie","Jasmin|Aloe vera","Dermatologique","Flacon plastique","400","ml","8000","Rapide","28","Hebdomadaire","18","4.3","1234","Croissante","Dove","Parfum local","Prix moyen","Senteur unique,Digital + Promo","Beauty influencer","#Jasmin #BeautéTunisienne #Fraîcheur","Douche quotidienne","Courses mensuelles","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Non"
"P009","Makroud aux Dattes","Alimentation","Pâtisserie","Délice","Kairouan","25.0","Moyen","Ramadan","Été","Kairouan","Nationale","Pâtisserie","Supermarché","15","65","Tous","Moyen","Pâtisserie traditionnelle aux dattes et miel","Dattes|Semoule|Miel","Halal|Artisanal","Boîte carton","500","g","5000","Saisonnière","30","Quotidienne","35","4.7","2109","Très croissante","Pâtisserie locale","Fait maison","Durée conservation","Nostalgie,Instagram Stories","Food influencer","#Makroud #Ramadan #Artisanal","Goûter|Café","Ramadan|Cadeaux","Oui","Oui","Oui","Non","Oui","Oui","Non","Non","Non","Oui","Oui","Oui","Oui","Non","No","Oui","Oui"
"P010","Parfum Musc Tunisien","Beauté","Parfums","Carthage Essence","Tunis","85.0","Premium","Toute année","Aucune","Tunis","Grand Tunis","Parfumerie","Boutique","25","55","Tous","Élevé","Eau de parfum musc et jasmin","Musc|Jasmin|Ambre","Halal","Flacon verre","50","ml","1500","Lente","40","Rare","10","4.8","432","Croissante","Importés","Made in Tunisia","Prix élevé","Luxe local,Influenceur luxe","Luxury influencer","#ParfumTunisien #Luxe #MadeInTunisia","Quotidien|Soirée","Cadeau|Personnel","Oui","Oui","Oui","Non","Non","Non","Oui","Oui","Non","Non","Oui","Non","Oui","Oui","Non","Non","Oui"
