"id","mois","produit","region","gouvernorat","tranche_age","genre","milieu","canal_achat","occasion","quantite","prix_unitaire","montant_total","satisfaction","canal_decouverte","concurrent_essaye","racheterait","recommande_ami"
"ACH00001","Janvier","Boga Limoun","Centre-Est","Sousse","35-44","M","urbain","supermarche","plage_ete","3","1.8","5.4","3","reseaux_sociaux","Coca-Cola","Oui","Non"
"ACH00002","Janvier","Boga Pomme","Centre-Est","Mahdia","25-34","F","urbain","supermarche","repas_famille","2","1.8","3.6","5","bouche_a_oreille","Pepsi","Oui","Oui"
"ACH00003","Janvier","Boga Pomme","Grand Tunis","Tunis","18-24","F","urbain","distributeur_auto","repas_famille","4","1.8","7.2","4","influenceur","Pepsi","Oui","Oui"
"ACH00004","Janvier","Boga Cidre","Centre-Est","Monastir","25-34","M","urbain","supermarche","quotidien","1","1.8","1.8","4","pub_tv","Pepsi","Oui","Oui"
"ACH00005","Janvier","Boga Pomme","Sud","Gabès","25-34","M","urbain","souk","quotidien","1","1.8","1.8","4","influenceur","Boga","Oui","Oui"
"ACH00006","Janvier","Boga Cidre","Nord Littoral","Nabeul","18-24","M","urbain","distributeur_auto","sortie_amis","3","1.8","5.4","4","affichage","Coca-Cola","Oui","Oui"
"ACH00007","Janvier","Boga Pomme","Centre-Est","Sousse","18-24","M","urbain","cafe_restaurant","sortie_amis","1","1.8","1.8","4","reseaux_sociaux","Aucun","Oui","Oui"
"ACH00008","Janvier","Boga Cidre","Nord Littoral","Nabeul","18-24","M","rural","cafe_restaurant","sortie_amis","1","1.8","1.8","5","bouche_a_oreille","Aucun","Oui","Non"
"ACH00009","Janvier","Boga Cidre","Centre-Est","Mahdia","45-54","F","rural","souk","sport","1","1.8","1.8","3","affichage","Safia","Oui","Non"
"ACH00010","Janvier","Boga Cidre","Sud","Sfax","45-54","F","rural","souk","sortie_amis","1","1.8","1.8","4","influenceur","Aucun","Oui","Oui"
"ACH00011","Janvier","Boga Limoun","Sud","Sfax","45-54","F","urbain","supermarche","quotidien","1","1.8","1.8","5","promotion_magasin","Aucun","Oui","Non"
"ACH00012","Janvier","Boga Pomme","Centre-Est","Mahdia","18-24","F","urbain","en_ligne","travail","2","1.8","3.6","5","reseaux_sociaux","Boga","Oui","Oui"
"ACH00013","Janvier","Boga Limoun","Sud","Gabès","18-24","F","urbain","supermarche","repas_famille","2","1.8","3.6","5","pub_tv","Coca-Cola","Oui","Oui"
"ACH00014","Janvier","Boga Pomme","Sud","Médenine","25-34","M","urbain","epicerie","plage_ete","2","1.8","3.6","4","bouche_a_oreille","Pepsi","Oui","Oui"
"ACH00015","Janvier","Boga Cidre","Sud","Tataouine","25-34","M","urbain","cafe_restaurant","travail","1","1.8","1.8","4","promotion_magasin","Coca-Cola","Oui","Oui"
"ACH00016","Janvier","Boga Limoun","Sud","Médenine","25-34","M","rural","epicerie","travail","1","1.8","1.8","5","promotion_magasin","Aucun","Oui","Oui"
"ACH00017","Janvier","Boga Cidre","Grand Tunis","Manouba","25-34","F","urbain","en_ligne","quotidien","1","1.8","1.8","5","affichage","Pepsi","Oui","Oui"
"ACH00018","Janvier","Boga Cidre","Nord Littoral","Zaghouan","35-44","M","urbain","supermarche","quotidien","2","1.8","3.6","3","reseaux_sociaux","Coca-Cola","Oui","Non"
"ACH00019","Janvier","Boga Cidre","Grand Tunis","Tunis","45-54","M","urbain","epicerie","repas_famille","2","1.8","3.6","5","pub_tv","Fanta","Oui","Oui"
"ACH00020","Janvier","Boga Cidre","Centre-Est","Mahdia","18-24","F","rural","epicerie","plage_ete","1","1.8","1.8","5","reseaux_sociaux","Pepsi","Oui","Non"
"ACH00021","Janvier","Boga Cidre","Sud","Sfax","8-17","M","urbain","souk","quotidien","1","1.8","1.8","4","reseaux_sociaux","Pepsi","Oui","Oui"
"ACH00022","Janvier","Boga Pomme","Nord-Ouest","Jendouba","25-34","F","urbain","en_ligne","quotidien","1","1.8","1.8","5","affichage","Coca-Cola","Oui","Non"
"ACH00023","Janvier","Boga Cidre","Grand Tunis","Ben Arous","25-34","F","urbain","en_ligne","fete","3","1.8","5.4","4","pub_tv","Safia","Oui","Non"
"ACH00024","Janvier","Boga Limoun","Nord Littoral","Zaghouan","35-44","M","urbain","supermarche","travail","1","1.8","1.8","3","reseaux_sociaux","Fanta","Oui","Non"
"ACH00025","Janvier","Boga Cidre","Grand Tunis","Tunis","45-54","M","rural","epicerie","repas_famille","4","1.8","7.2","5","influenceur","Safia","Oui","Non"
"ACH00026","Janvier","Boga Pomme","Grand Tunis","Ariana","45-54","M","urbain","supermarche","travail","1","1.8","1.8","5","affichage","Coca-Cola","Oui","Oui"
"ACH00027","Janvier","Boga Cidre","Sud","Sfax","45-54","M","urbain","supermarche","travail","2","1.8","3.6","5","pub_tv","Boga","Oui","Non"
"ACH00028","Janvier","Boga Cidre","Grand Tunis","Ben Arous","18-24","F","rural","cafe_restaurant","fete","2","1.8","3.6","5","reseaux_sociaux","Fanta","Oui","Non"
"ACH00029","Janvier","Boga Cidre","Centre-Est","Monastir","35-44","F","urbain","epicerie","travail","3","1.8","5.4","4","pub_tv","Pepsi","Oui","Oui"
"ACH00030","Janvier","Boga Limoun","Centre-Est","Mahdia","35-44","M","urbain","epicerie","quotidien","1","1.8","1.8","4","promotion_magasin","Safia","Oui","Oui"
"ACH00031","Janvier","Boga Cidre","Sud","Tataouine","25-34","M","rural","supermarche","repas_famille","4","1.8","7.2","4","bouche_a_oreille","Pepsi","Oui","Oui"
"ACH00032","Janvier","Boga Pomme","Grand Tunis","Ben Arous","25-34","F","urbain","cafe_restaurant","sortie_amis","3","1.8","5.4","5","bouche_a_oreille","Pepsi","Oui","Oui"
"ACH00033","Janvier","Boga Cidre","Grand Tunis","Ariana","25-34","M","rural","distributeur_auto","quotidien","3","1.8","5.4","5","affichage","Fanta","Oui","Oui"
"ACH00034","Janvier","Boga Pomme","Centre-Est","Monastir","25-34","M","rural","supermarche","repas_famille","6","1.8","10.8","5","affichage","Coca-Cola","Oui","Oui"
"ACH00035","Janvier","Boga Limoun","Sud","Gabès","45-54","M","urbain","epicerie","fete","6","1.8","10.8","4","influenceur","Aucun","Oui","Oui"
"ACH00036","Janvier","Boga Pomme","Sud","Tataouine","45-54","F","urbain","epicerie","fete","3","1.8","5.4","5","bouche_a_oreille","Coca-Cola","Oui","Oui"
