id,age,tranche_age,genre,education,region,gouvernorat,milieu,revenu_mensuel_tnd,tranche_revenu,taux_epargne_pct,lifestyle,canaux_utilises,nb_canaux,categories_achetees,nb_categories,canaux_decouverte,recherche_mobile_pct,recherche_duree_jours,sources_comparees,methode_paiement,panier_moyen_tnd,achat_en_ligne,achat_repete_3mois,nps,connait_programme_fidelite,points_friction,nb_friction,ramadan_actif,ramadan_panier_tnd,ete_actif,ete_panier_tnd,soldes_actif,soldes_panier_tnd,smartphone,connexion_4g_5g,utilise_apps_paiement,actif_reseaux_sociaux,satisfaction_globale,season
TN00001,38,35-44,M,Universitaire Licence,Sud,Sfax,urbain,1158,Moyen,3.8,Familial traditionnel,boutique_physique|reseaux_sociaux|app_mobile|marche_souk|whatsapp_commerce,5,maison_deco|voyage_tourisme|sante|beaute_hygiene,4,tv_radio|bouche_a_oreille|affichage_urbain,63,4,3,paiement_a_la_livraison,190.26,True,True,47,True,mefiance_paiement_online,1,True,222.38,False,273.32,True,311.42,True,False,False,True,57,soldes
TN00002,21,18-24,M,Master / Ingénieur,Grand Tunis,Ariana,urbain,1949,Élevé,7.8,Digitaliste connecté,reseaux_sociaux|app_mobile|site_ecommerce|marche_souk,4,maison_deco|voyage_tourisme|alimentation,3,youtube|bouche_a_oreille|influenceur_local,89,6,2,especes,185.24,True,False,3,False,livraison_lente_chere|retours_difficiles|rupture_de_stock,3,True,372.89,False,220.46,False,379.36,True,False,False,True,60,ramadan
TN00003,26,25-34,F,Primaire / Collège,Centre-Est,Monastir,urbain,1223,Moyen,1.1,Familial traditionnel,boutique_physique|reseaux_sociaux,2,maison_deco|divertissement|mode,3,youtube,90,5,2,paiement_a_la_livraison,212.61,False,True,25,False,livraison_lente_chere|mefiance_paiement_online|prix_non_transparents|rupture_de_stock,4,True,242.45,True,151.98,True,233.27,True,True,False,True,60,ramadan
TN00004,19,18-24,F,Master / Ingénieur,Grand Tunis,Manouba,urbain,1997,Élevé,5.3,Digitaliste connecté,reseaux_sociaux|app_mobile|marche_souk,3,maison_deco|mode,2,instagram|facebook|bouche_a_oreille,94,5,3,especes,249.71,False,True,40,True,retours_difficiles|interface_non_arabisee|rupture_de_stock,3,True,256.22,False,248.26,True,420.2,False,True,False,False,77,soldes
TN00005,33,25-34,M,Master / Ingénieur,Grand Tunis,Manouba,urbain,395,Faible,2.4,Familial traditionnel,boutique_physique|marche_souk|television_catalogue,3,sport|sante,2,tv_radio,85,3,3,paiement_a_la_livraison,44.16,True,True,49,False,mefiance_paiement_online|service_client_absent,2,True,55.51,False,63.6,False,59.96,True,True,False,True,65,ramadan
TN00006,23,18-24,F,Secondaire / BAC,Sud,Médenine,rural,326,Faible,1.9,Familial traditionnel,boutique_physique|reseaux_sociaux|app_mobile|whatsapp_commerce,4,alimentation|sport|divertissement|mode,4,tv_radio|facebook|affichage_urbain,81,8,1,paiement_a_la_livraison,31.9,False,True,42,False,mefiance_paiement_online|retours_difficiles|prix_non_transparents|service_client_absent,4,True,33.61,True,39.75,False,48.52,False,False,False,False,59,ete
TN00007,48,45-54,M,Universitaire Licence,Centre-Est,Mahdia,urbain,885,Moyen,16.9,Rural émergent,reseaux_sociaux,1,divertissement|alimentation|mode,3,google_search,38,6,3,especes,207.63,False,True,15,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles,3,True,212.83,False,203.06,True,213.8,True,False,False,True,51,soldes
TN00008,28,25-34,M,Secondaire / BAC,Centre-Est,Sousse,rural,1076,Moyen,16.0,Urbain moderne,boutique_physique,1,voyage_tourisme|mode,2,youtube|instagram|tv_radio,91,4,4,virement,125.29,False,True,56,False,prix_non_transparents|service_client_absent|interface_non_arabisee,3,True,225.42,True,214.82,True,216.82,True,False,False,False,55,ramadan
TN00009,42,35-44,M,Universitaire Licence,Centre-Est,Monastir,rural,2067,Élevé,17.7,Digitaliste connecté,boutique_physique|reseaux_sociaux|app_mobile|site_ecommerce|marche_souk,5,voyage_tourisme|sport|divertissement|beaute_hygiene,4,instagram|tiktok|influenceur_local,56,3,1,especes,495.71,True,False,21,False,livraison_lente_chere|service_client_absent|interface_non_arabisee,3,True,598.79,True,481.82,False,673.39,True,False,False,True,61,ramadan
TN00010,21,18-24,M,Primaire / Collège,Grand Tunis,Manouba,urbain,1065,Moyen,13.9,Urbain moderne,reseaux_sociaux|marche_souk|whatsapp_commerce|television_catalogue,4,voyage_tourisme|mode,2,facebook|youtube|instagram,92,5,1,carte_bancaire,127.74,True,True,42,False,livraison_lente_chere|mefiance_paiement_online|service_client_absent,3,True,129.37,True,130.69,True,140.26,True,True,True,False,53,soldes
